CreditScore,Age,Age_Binned,Tenure,Balance,Balance_Binned,EstimatedSalary,Geography_Germany,Geography_Spain,Gender_Male,CreditScore_orig,Age_orig,Tenure_orig,Balance_orig,EstimatedSalary_orig,Exited
-0.3263771622049328,0.29345563063619096,1,-1.0418309127792273,-1.2258007789161172,0,0.0218488690918748,False,False,False,619,42,2,0.0,101348.88,1
-0.44018624136928136,0.19811354615552804,1,-1.3875861043290045,0.11740189555356433,0,0.21646810008739767,False,True,False,608,41,1,83807.86,112542.58,0
-1.5368919133166405,0.29345563063619096,1,1.0327002365194355,1.3331097286182465,2,0.24061777049668792,False,False,False,502,42,8,159660.8,113931.57,1
0.5013252317176025,0.007429377194202207,1,-1.3875861043290045,-1.2258007789161172,0,-0.10893670764826227,False,False,False,699,39,1,0.0,93826.63,0
2.0636135002463876,0.38879771511685385,1,-1.0418309127792273,0.7857822527814204,1,-0.3652576606422166,False,True,False,850,43,2,125510.82,79084.1,0
-0.05737388418010884,0.48413979959751674,1,1.0327002365194355,0.5973822486947143,1,0.8634914581162368,False,True,True,645,44,8,113755.78,149756.71,1
1.7739176623735002,1.0561923064814942,1,0.6869450449696584,-1.2258007789161172,0,-1.5652962831094335,False,False,True,822,50,7,0.0,10062.8,0
-2.8405231837446334,-0.9459914676124269,0,-0.35032052967967314,0.6180726818430299,1,0.3347710413367466,True,False,False,376,29,4,115046.74,119346.88,1
-1.5472381932406722,0.48413979959751674,1,-0.35032052967967314,1.050875622739765,2,-0.4373003494361855,False,False,True,501,44,4,142051.07,74940.5,0
0.3461310328571271,-1.1366756365737527,0,-1.0418309127792273,0.9315182554798939,2,-0.4931939382609242,False,False,True,684,27,2,134603.88,71725.73,0
-1.2678886352918166,-0.7553072986511011,0,0.3411898534198812,0.4092383587569441,1,-0.3461843257496693,False,False,True,528,31,6,102016.72,80181.12,0
-1.588623312936799,-1.4227018900157415,0,-0.6960757212294503,-1.2258007789161172,0,-0.41209844823101477,False,True,True,497,24,3,0.0,76390.01,0
-1.8058951913414645,-0.46928104520911235,0,1.72421061961899,-1.2258007789161172,0,-1.2836666758189883,False,False,False,476,34,10,0.0,26260.98,0
-1.0506167568871512,-1.3273598055350786,0,-0.0045653381298959616,-1.2258007789161172,0,1.578095260494849,False,False,False,549,25,5,0.0,190857.79,0
-0.16083668342042573,-0.37393896072844945,0,0.6869450449696584,-1.2258007789161172,0,-0.5935849626145008,False,True,False,635,35,7,0.0,65951.65,0
-0.35741600197702783,0.5794818840781797,1,-0.6960757212294503,1.068158359370764,2,-0.6218274144076358,True,False,True,616,45,3,143129.41,64327.26,0
0.025396355212144686,1.8189289823267976,2,-1.3875861043290045,0.8994478917739857,2,-1.6516225007490704,True,False,True,653,58,1,132602.88,5097.67,1
-1.0506167568871512,-1.4227018900157415,0,1.3784554280692127,-1.2258007789161172,0,-1.489776121058953,False,True,False,549,24,9,0.0,14406.41,0
-0.6574581197739469,0.5794818840781797,1,0.3411898534198812,-1.2258007789161172,0,1.0187198416043712,False,True,True,587,45,6,0.0,158684.81,0
0.7806747896664581,-1.4227018900157415,0,0.3411898534198812,-1.2258007789161172,0,-0.7887939435868291,False,False,False,726,24,6,0.0,54724.03,0
0.8427524692106482,0.19811354615552804,1,1.0327002365194355,-1.2258007789161172,0,1.230858750124301,False,False,True,732,41,8,0.0,170886.17,0
-0.15049040349639406,-0.6599652141704382,0,1.0327002365194355,-1.2258007789161172,0,0.6687409590686832,False,True,False,636,32,8,0.0,138555.46,0
-1.454121673924387,-0.08791270728646071,1,-0.35032052967967314,-1.2258007789161172,0,0.3272366028801227,False,True,False,510,38,4,0.0,118913.53,1
0.19093683399665173,0.6748239685588426,1,-0.6960757212294503,-1.2258007789161172,0,-1.5926808851426755,False,False,True,669,46,3,0.0,8487.75,0
2.0222283805502608,-0.08791270728646071,1,-0.0045653381298959616,-1.2258007789161172,0,1.5217346703618262,False,False,False,846,38,5,0.0,187616.16,0
-0.7609209190142637,-1.3273598055350786,0,-0.6960757212294503,-1.2258007789161172,0,0.42450988059924244,False,False,True,577,25,3,0.0,124508.29,0
1.0910631873874088,-0.2785968762477865,0,-1.0418309127792273,0.9669665051701386,2,1.2161807216626626,True,False,True,756,36,2,136815.64,170041.95,0
-0.8229985985584539,0.48413979959751674,1,1.3784554280692127,-1.2258007789161172,0,-1.0720318018458628,False,False,True,571,44,9,0.0,38433.35,0
-2.4784033864035244,-0.9459914676124269,0,-1.7333412958787817,-0.2690241901537835,0,-0.8103674567418954,False,False,True,411,29,0,59697.17,53483.21,0
-0.6160730000778201,0.007429377194202207,1,-0.6960757212294503,-1.2258007789161172,0,0.7020173233259845,False,True,False,591,39,3,0.0,140469.38,1
-1.2161572356716581,-0.2785968762477865,0,0.6869450449696584,0.14150419228294603,0,0.9847657516956587,False,False,True,533,36,7,85311.7,156731.91,0
-1.0092316371910244,0.19811354615552804,1,1.3784554280692127,0.5389914281710196,1,-0.31631971379037965,True,False,True,553,41,9,110112.54,81898.81,0
-1.3506588746840702,0.29345563063619096,1,0.3411898534198812,-1.2258007789161172,0,-1.1419742018073402,False,True,False,520,42,6,0.0,34410.55,0
0.7392896699703313,-0.9459914676124269,0,1.3784554280692127,-1.2258007789161172,0,0.7292044147537867,False,True,False,722,29,9,0.0,142033.07,0
-1.8162414712654962,0.5794818840781797,1,-1.7333412958787817,0.9260715826154182,2,-1.2565087937060748,False,False,False,475,45,0,134264.04,27822.99,1
-1.6610472724050207,-0.7553072986511011,0,-0.6960757212294503,1.1023093700613305,2,0.24296842488537032,False,True,True,490,31,3,145260.23,114066.77,0
1.58768462374093,-0.5646231296897752,0,0.6869450449696584,0.0010565140264525111,0,-0.02849251579438876,False,True,True,804,33,7,76548.6,98453.45,0
2.0636135002463876,-0.2785968762477865,0,0.6869450449696584,-1.2258007789161172,0,-1.030659763010143,False,False,True,850,36,7,0.0,40812.9,0
-0.7091895193941053,0.19811354615552804,1,0.3411898534198812,-0.09829782533215306,0,1.3558306300117187,True,False,True,582,41,6,70349.48,178074.04,0
-1.8472803110375913,0.10277146167486512,1,-0.35032052967967314,-1.2258007789161172,0,-0.5205169920949356,False,True,True,472,40,4,0.0,70154.22,0
-1.9197042705058132,1.1515343909621572,1,1.0327002365194355,0.7378850604100529,1,1.4118779154695633,False,False,False,465,51,8,122522.32,181297.65,1
-0.9781927974189293,2.104955235768786,2,-1.0418309127792273,0.6560989015493142,1,-0.10324784584369948,False,False,False,556,61,2,117419.35,94153.83,0
1.8980730214618806,0.9608502220008314,1,-1.0418309127792273,0.8800819438114054,2,1.6390865702275883,False,False,False,834,49,2,131394.56,194365.76,1
